nu	rho	True_Res_Y0	True_Res_Y1	True_Diff
0	0.1	0.459646853606959	0.562069055527063	0.102422201920104
0	0.2	0.885341210906902	1.10112289683951	0.2157816859326
0	0.3	1.50134065919623	2.03576119682851	0.534420537632292
0	0.4	2.29372472547967	3.5753087803603	1.28158405488063
0	0.5	3.21710915091389	5.42738276805663	2.21027361714274
0	0.6	4.31071875042886	7.53378861914539	3.22306986871647
1	0.1	0.499453481208806	0.669684012908844	0.170230531700033
1	0.2	1.12926792399128	1.67799512522853	0.548727201237244
1	0.3	1.88202651696285	3.14170097296482	1.25967445600196
1	0.4	2.74445545089928	4.89846833020037	2.15401287930106
1	0.5	3.73640257627765	6.87046456328779	3.13406198701015
1	0.6	4.92121077702483	9.16495614334302	4.24374536631819
2	0.1	0.578969261899876	1.1177873892126	0.538818127312724
2	0.2	1.22351354884783	2.50704661874309	1.28353306989525
2	0.3	1.95248087382881	4.04042830332497	2.08794742949615
2	0.4	2.79227333666693	5.72245412963844	2.93018079297149
2	0.5	3.78651705442719	7.64182301870234	3.85530596427511
2	0.6	5.01005137968476	9.9518504385221	4.94179905883733
3	0.1	0.576546972499802	1.44567199796267	0.869125025462867
3	0.2	1.20897198196931	2.98330467593698	1.77433269396768
3	0.3	1.92219275992578	4.56885796947837	2.64666520955258
3	0.4	2.74765197107471	6.27740026677191	3.52974829569718
3	0.5	3.73452791927998	8.21866950959972	4.48414159031969
3	0.6	4.96535128628948	10.561030029737	5.59567874344754
