"nu"	"rho"	"True_Res_Y0"	"True_Res_Y1"	"True_Diff"
0	0.1	0.459707086101822	0.562111670824246	0.102404584722421
0	0.2	0.885443892368288	1.10134982856278	0.21590593619449
0	0.3	1.50124776424866	2.03637283349144	0.535125069242789
0	0.4	2.29414064771312	3.57686057215269	1.28271992443958
0	0.5	3.21810486184455	5.42960441506203	2.21149955321747
0	0.6	4.31181087759143	7.53596156771869	3.22415069012726
1	0.1	0.497223965269932	0.652651169559974	0.155427204290043
1	0.2	1.10222819649429	1.70679819196273	0.604569995468437
1	0.3	1.78669239113575	3.09698710156025	1.3102947104245
1	0.4	2.55579910085661	4.64108651322105	2.08528741236447
1	0.5	3.44425809721533	6.35997800673237	2.91571990951707
1	0.6	4.5223959770208	8.38808789024249	3.86569191322168
2	0.1	0.543705717783386	1.02399267839679	0.480286960613401
2	0.2	1.13886470325311	2.25320066901219	1.11433596575908
2	0.3	1.7981664059525	3.58794531119769	1.78977890524519
2	0.4	2.54705681109232	5.04889093315948	2.50183412206719
2	0.5	3.42756694227319	6.71590209828079	3.28833515600765
2	0.6	4.5093485640612	8.72587217364565	4.21652360958441
3	0.1	0.524616843922407	1.10308080878873	0.57846396486632
3	0.2	1.1007387102229	2.29139335542267	1.19065464519975
3	0.3	1.74725450008021	3.57373208815616	1.82647758807595
3	0.4	2.49171194624735	4.9972041011381	2.50549215489073
3	0.5	3.37521497181344	6.64750512821322	3.27229015639976
3	0.6	4.47097935616339	8.65593462449878	4.18495526833541
