"run_ID"	"psi_z0_row1"	"psi_z1_row1"	"nu_row1"	"rho_row1"	"estimYs_row1"	"sd_row1"	"quantile025_row1"	"quantile975_row1"	"CIlength95_row1"	"psi_z0_row2"	"psi_z1_row2"	"nu_row2"	"rho_row2"	"estimYs_row2"	"sd_row2"	"quantile025_row2"	"quantile975_row2"	"CIlength95_row2"	"psi_z0_row3"	"psi_z1_row3"	"nu_row3"	"rho_row3"	"estimYs_row3"	"sd_row3"	"quantile025_row3"	"quantile975_row3"	"CIlength95_row3"	"psi_z0_row4"	"psi_z1_row4"	"nu_row4"	"rho_row4"	"estimYs_row4"	"sd_row4"	"quantile025_row4"	"quantile975_row4"	"CIlength95_row4"	"psi_z0_row5"	"psi_z1_row5"	"nu_row5"	"rho_row5"	"estimYs_row5"	"sd_row5"	"quantile025_row5"	"quantile975_row5"	"CIlength95_row5"	"psi_z0_row6"	"psi_z1_row6"	"nu_row6"	"rho_row6"	"estimYs_row6"	"sd_row6"	"quantile025_row6"	"quantile975_row6"	"CIlength95_row6"	"psi_z0_row7"	"psi_z1_row7"	"nu_row7"	"rho_row7"	"estimYs_row7"	"sd_row7"	"quantile025_row7"	"quantile975_row7"	"CIlength95_row7"	"psi_z0_row8"	"psi_z1_row8"	"nu_row8"	"rho_row8"	"estimYs_row8"	"sd_row8"	"quantile025_row8"	"quantile975_row8"	"CIlength95_row8"
1	0	0	0	0.1	0.275806119510659	0.0525352253167683	0.153836671977117	0.419126234412799	0.265289562435682	0	0	0	0.2	0.501378639896009	0.0940850441832761	0.284277274597258	0.75466834385719	0.470391069259932	0	0	1	0.1	0.238489573353643	0.0453696360084499	0.130351829200502	0.357083739005295	0.226731909804793	0	0	1	0.2	0.50388147326365	0.095060229165989	0.276805628351361	0.753252043312243	0.476446414960882	0	0	2	0.1	0.247269020258196	0.0469649337974018	0.136340753451885	0.371162574973933	0.234821821522048	0	0	2	0.2	0.538660736699389	0.10209468416965	0.295585823800943	0.808541724175274	0.512955900374331	0	0	3	0.1	0.262317723071172	0.0499449866421114	0.14374705063353	0.395688863325432	0.251941812691901	0	0	3	0.2	0.576999093971616	0.10984227235881	0.317338318422479	0.868407045479143	0.551068727056664
210	0	0	0	0.1	0.246097710720534	0.0542047936577198	0.114642637868148	0.395644072655347	0.281001434787198	0	0	0	0.2	0.448578430213513	0.0980184920197638	0.210873985858938	0.712418855639284	0.501544869780346	0	0	1	0.1	0.210228160616916	0.0460864826856287	0.097573897797416	0.33771763241166	0.240143734614243	0	0	1	0.2	0.444796243374284	0.097067487867063	0.208330581071677	0.710303488729655	0.501972907657978	0	0	2	0.1	0.216440827286789	0.047312629746286	0.10033585326751	0.34764685415459	0.24731100088708	0	0	2	0.2	0.47225121292177	0.103164369198203	0.222320914232232	0.75502329734299	0.532702383110758	0	0	3	0.1	0.228801312547694	0.0499827348153993	0.106288058923791	0.36895711235314	0.262669053429348	0	0	3	0.2	0.504033924498852	0.110231158682799	0.235681806756435	0.812552633196191	0.576870826439756
189	0	0	0	0.1	0.123977719428254	0.0500906419715233	-0.00168647964013465	0.245121903005576	0.246808382645711	0	0	0	0.2	0.228660247852506	0.0921599845273267	-0.00395913667344574	0.449408179590659	0.453367316264104	0	0	1	0.1	0.110420103002237	0.0443962765914687	-0.00164111907528057	0.221647980904758	0.223289099980038	0	0	1	0.2	0.235625313085478	0.0947412898244524	-0.00349307961467389	0.470141093398236	0.47363417301291	0	0	2	0.1	0.116736749704434	0.0469312367832382	-0.00143248322012811	0.23416817989111	0.235600663111239	0	0	2	0.2	0.255863359492023	0.102876129614443	-0.00370795957479522	0.512650544635151	0.516358504209946	0	0	3	0.1	0.125227365700877	0.0503303201544575	-1.01743587699186e-05	0.251049653466207	0.251059827824977	0	0	3	0.2	0.276904302951053	0.111438695662733	-0.00506570099933025	0.558391745451702	0.563457446451032
51	0	0	0	0.1	0.199297945315757	0.0562981936693199	0.0609145145171874	0.349242238060739	0.288327723543552	0	0	0	0.2	0.371275606975465	0.104247450092801	0.112392176609906	0.640152408358151	0.527760231748246	0	0	1	0.1	0.183850122313883	0.0516742634493531	0.0544656860426269	0.317997148707396	0.263531462664769	0	0	1	0.2	0.392008037513778	0.109810376871388	0.115675679643119	0.670555280392103	0.554879600748984	0	0	2	0.1	0.19529611550364	0.0547218504250557	0.0567942621719076	0.332765387196738	0.275971125024831	0	0	2	0.2	0.427925747867877	0.119768206306691	0.123156084555601	0.729746237837028	0.606590153281427	0	0	3	0.1	0.209671029988391	0.0586611912849613	0.060424137346075	0.354762489673438	0.294338352327363	0	0	3	0.2	0.463850575309915	0.129724361410139	0.135120507763216	0.794569798692163	0.659449290928947
55	0	0	0	0.1	0.273780162499066	0.0544602874629067	0.146133584139397	0.428116620599247	0.281983036459851	0	0	0	0.2	0.515786671966981	0.101424915401515	0.281556382318556	0.796680649303649	0.515124266985093	0	0	1	0.1	0.261948774755726	0.0530679073436634	0.139930959947084	0.4161260325981	0.276195072651016	0	0	1	0.2	0.562566283267135	0.113194340607916	0.301821410949185	0.894232206816522	0.592410795867337	0	0	2	0.1	0.283283229892154	0.0577873651198421	0.15174098664577	0.464143074539845	0.312402087894076	0	0	2	0.2	0.623626555922102	0.126910186427686	0.336656643901503	1.01402662145442	0.677369977552922	0	0	3	0.1	0.307111792617239	0.0630369873851291	0.162289252143894	0.495142456775765	0.332853204631871	0	0	3	0.2	0.681456501698945	0.139727864273343	0.362367514486845	1.08908754191878	0.726720027431937
31	0	0	0	0.1	0.273989013015121	0.0537834896352613	0.144713548886739	0.409899409843225	0.265185860956486	0	0	0	0.2	0.513102655542125	0.0997666477615413	0.272274159539077	0.778820074000169	0.506545914461093	0	0	1	0.1	0.257961070029012	0.0509216714314224	0.134259721862731	0.39271458555911	0.258454863696378	0	0	1	0.2	0.552288812541706	0.108464455221955	0.289435391647986	0.84210488127378	0.552669489625794	0	0	2	0.1	0.276940086805289	0.054768462757062	0.144352839145727	0.427673458717626	0.283320619571899	0	0	2	0.2	0.608416737090217	0.120086838449641	0.316627559778934	0.942906177923098	0.626278618144164	0	0	3	0.1	0.299126551621592	0.0592008837500552	0.154604283700349	0.460034049080445	0.305429765380096	0	0	3	0.2	0.662594409830031	0.131152111177225	0.34608080260723	1.03137577356516	0.685294970957926
101	0	0	0	0.1	0.215393304665795	0.0475630521547873	0.0969560988127307	0.333918185150746	0.236962086338015	0	0	0	0.2	0.396594026628108	0.086994119067169	0.183551353044153	0.605436412899871	0.421885059855718	0	0	1	0.1	0.187013079619506	0.0413109398108639	0.0847525699355806	0.290937024969264	0.206184455033684	0	0	1	0.2	0.40003388866998	0.0881584128239457	0.183194154126452	0.628878948287979	0.445684794161527	0	0	2	0.1	0.196231112698177	0.0434817231642241	0.090028002420645	0.314002576716648	0.223974574296003	0	0	2	0.2	0.43101940081112	0.0955389880641125	0.195498228401905	0.688441549965472	0.492943321563566	0	0	3	0.1	0.209800602956964	0.0466333049472802	0.0949030795101833	0.334572299069818	0.239669219559634	0	0	3	0.2	0.46432915407284	0.103330656497346	0.212935361757509	0.740501907628936	0.527566545871427
199	0	0	0	0.1	0.16882267192794	0.0541807689161216	0.0138956705443491	0.306413689207839	0.292518018663489	0	0	0	0.2	0.30750844865795	0.09824254449044	0.0252415425552037	0.559994813445343	0.534753270890139	0	0	1	0.1	0.147056143663511	0.0471644358229098	0.0134943592267691	0.267677834420994	0.254183475194225	0	0	1	0.2	0.310604331054446	0.0993842580443568	0.0278529084618483	0.56496749921157	0.537114590749722	0	0	2	0.1	0.152709474905822	0.0489594984657134	0.014083445541531	0.280770145116261	0.26668669957473	0	0	2	0.2	0.332616553495503	0.106585240007603	0.0303889015701522	0.613933145966981	0.583544244396829	0	0	3	0.1	0.162226615050665	0.0519991411975883	0.0143404377222455	0.297782843254975	0.28344240553273	0	0	3	0.2	0.356798183061141	0.114508250393007	0.0335173106802634	0.653595530198774	0.62007821951851
129	0	0	0	0.1	0.303270181651885	0.055962900060862	0.176395536849732	0.449255134061922	0.27285959721219	0	0	0	0.2	0.565685089518831	0.103276413933036	0.325259025330155	0.835968016866582	0.510708991536427	0	0	1	0.1	0.271505620295305	0.050754292908271	0.153033385354424	0.401990300245716	0.248956914891291	0	0	1	0.2	0.582415218865996	0.10835643343638	0.330332031364611	0.86419450810285	0.533862476738239	0	0	2	0.1	0.286440397163968	0.0538673196112344	0.161408765118085	0.425820023593681	0.264411258475597	0	0	2	0.2	0.630575474956207	0.118658862000127	0.354800289601621	0.93662198087956	0.581821691277939	0	0	3	0.1	0.306614858270887	0.0579455464796356	0.172990452615212	0.454847913646768	0.281857461031556	0	0	3	0.2	0.680540899940104	0.128891632389663	0.381930368063307	1.0103957968082	0.628465428744889
87	0	0	0	0.1	0.29110088128648	0.0531239047628817	0.164760750754268	0.423112190353156	0.258351439598888	0	0	0	0.2	0.537701692440573	0.0971524618882494	0.306484476951714	0.7801142430955	0.473629766143786	0	0	1	0.1	0.260379293566039	0.0479140889305046	0.147880440144157	0.379427594685612	0.231547154541455	0	0	1	0.2	0.555328947803463	0.101609327729208	0.319161662680387	0.806140944608803	0.486979281928416	0	0	2	0.1	0.274611432868973	0.0506619289499533	0.158163072602722	0.40198972562207	0.243826653019348	0	0	2	0.2	0.601938485706333	0.111043922883453	0.346543655326724	0.886705131740462	0.540161476413738	0	0	3	0.1	0.294055256554214	0.0544843564856449	0.170853987991993	0.430817043708779	0.259963055716786	0	0	3	0.2	0.650122814018076	0.120491487046755	0.37750249063534	0.947102488354403	0.569599997719062
164	0	0	0	0.1	0.182121880912155	0.0566025216177506	0.0346259651417098	0.327130154984056	0.292504189842347	0	0	0	0.2	0.331652009591447	0.102235303779646	0.0626098360765387	0.599625085711409	0.53701524963487	0	0	1	0.1	0.151250022961251	0.0465443107634324	0.0296085282337007	0.272887450838926	0.243278922605225	0	0	1	0.2	0.321258339729	0.0984917958013782	0.0628656746098439	0.578201143499261	0.515335468889417	0	0	2	0.1	0.154856956759405	0.0474269010061568	0.0312158227838317	0.276714153063701	0.245498330279869	0	0	2	0.2	0.338744506323855	0.103619224522779	0.0679869112082715	0.607758651779598	0.539771740571327	0	0	3	0.1	0.163307780087108	0.0499926411125169	0.0322422028730886	0.291612209227351	0.259370006354263	0	0	3	0.2	0.360603440029234	0.110205002277938	0.0751164247574622	0.643757162360883	0.568640737603421
132	0	0	0	0.1	0.295382048343677	0.0501158430400206	0.174277669939296	0.41716681714218	0.242889147202884	0	0	0	0.2	0.527648576251466	0.0886206597802369	0.309668064987101	0.73635267224157	0.426684607254469	0	0	1	0.1	0.242321059321393	0.0416808096239156	0.140263130444706	0.340364814007414	0.200101683562708	0	0	1	0.2	0.509616332775508	0.087064829717082	0.2942394989506	0.722660936208097	0.428421437257497	0	0	2	0.1	0.246886938630415	0.0426218547289705	0.144979065169375	0.351574814909708	0.206595749740333	0	0	2	0.2	0.53602993669521	0.0924316491702083	0.315877240506404	0.764840576114392	0.448963335607988	0	0	3	0.1	0.259883600850955	0.0451221103006835	0.154807191946577	0.371099839841943	0.216292647895366	0	0	3	0.2	0.569972819440317	0.0989610768881446	0.339454327528679	0.815333172229984	0.475878844701304
200	0	0	0	0.1	0.154939632532095	0.0520649451636218	0.0223418502515207	0.292202162457791	0.26986031220627	0	0	0	0.2	0.288944113187518	0.0966293153168394	0.042218806555194	0.537322261837189	0.495103455281995	0	0	1	0.1	0.140357129792889	0.0472287547197347	0.0211972476611862	0.254931183850611	0.233733936189424	0	0	1	0.2	0.300793548025089	0.100988739792284	0.0451603514875796	0.547760920192737	0.502600568705158	0	0	2	0.1	0.14895287046728	0.0501725716117463	0.0231726094302814	0.272519879565315	0.249347270135034	0	0	2	0.2	0.327560509736172	0.110281445671157	0.0494971239805955	0.598108236515872	0.548611112535276	0	0	3	0.1	0.160028647138836	0.0539889773555363	0.0245762595312989	0.294779879940881	0.270203620409582	0	0	3	0.2	0.35485912262493	0.119703222583265	0.051606411251192	0.654496686686434	0.602890275435242
152	0	0	0	0.1	0.212118221535592	0.0539873449740101	0.0807915045411096	0.35543546493287	0.27464396039176	0	0	0	0.2	0.38530144987382	0.0970632893932345	0.151343547956326	0.641231080891598	0.489887532935272	0	0	1	0.1	0.179204228500163	0.0449916997613554	0.0708199317592047	0.293030844101232	0.222210912342027	0	0	1	0.2	0.379130193806901	0.0947194063619479	0.148878850661943	0.617615189420738	0.468736338758795	0	0	2	0.1	0.184121871159424	0.0460150560052425	0.0728230749343804	0.301556817767177	0.228733742832797	0	0	2	0.2	0.401608556476855	0.100132038047371	0.15928131272049	0.653492492470837	0.494211179750348	0	0	3	0.1	0.194471679996568	0.0485218402913041	0.0776149707359463	0.31700521331689	0.239390242580944	0	0	3	0.2	0.428311179681845	0.10687030825224	0.171087465292157	0.694914220889163	0.523826755597006
172	0	0	0	0.1	0.281295308798351	0.0519131309848685	0.155875314380203	0.423096725266009	0.267221410885806	0	0	0	0.2	0.527465207832044	0.0959631945809234	0.291569071761051	0.778281969681639	0.486712897920588	0	0	1	0.1	0.265226751368464	0.0490086539407863	0.144840656352465	0.399402030226853	0.254561373874388	0	0	1	0.2	0.568905684572826	0.10433935291515	0.310509689739492	0.850176836357467	0.539667146617975	0	0	2	0.1	0.285515764700968	0.0528547678713807	0.156022132720619	0.432323232648959	0.27630109992834	0	0	2	0.2	0.6279038376041	0.115942366012644	0.34320968100733	0.946254505155345	0.603044824148015	0	0	3	0.1	0.308864311565862	0.0573231884478617	0.170771951497891	0.46797865434463	0.297206702846739	0	0	3	0.2	0.685019669922571	0.127012833550244	0.376668893253232	1.03689684178497	0.660227948531734
