"run_ID"	"eta_z0_row1"	"eta_z1_row1"	"nu_row1"	"rho_row1"	"estimYs_row1"	"sd_row1"	"quantile025_row1"	"quantile975_row1"	"CIlength95_row1"	"eta_z0_row2"	"eta_z1_row2"	"nu_row2"	"rho_row2"	"estimYs_row2"	"sd_row2"	"quantile025_row2"	"quantile975_row2"	"CIlength95_row2"	"eta_z0_row3"	"eta_z1_row3"	"nu_row3"	"rho_row3"	"estimYs_row3"	"sd_row3"	"quantile025_row3"	"quantile975_row3"	"CIlength95_row3"	"eta_z0_row4"	"eta_z1_row4"	"nu_row4"	"rho_row4"	"estimYs_row4"	"sd_row4"	"quantile025_row4"	"quantile975_row4"	"CIlength95_row4"	"eta_z0_row5"	"eta_z1_row5"	"nu_row5"	"rho_row5"	"estimYs_row5"	"sd_row5"	"quantile025_row5"	"quantile975_row5"	"CIlength95_row5"	"eta_z0_row6"	"eta_z1_row6"	"nu_row6"	"rho_row6"	"estimYs_row6"	"sd_row6"	"quantile025_row6"	"quantile975_row6"	"CIlength95_row6"	"eta_z0_row7"	"eta_z1_row7"	"nu_row7"	"rho_row7"	"estimYs_row7"	"sd_row7"	"quantile025_row7"	"quantile975_row7"	"CIlength95_row7"	"eta_z0_row8"	"eta_z1_row8"	"nu_row8"	"rho_row8"	"estimYs_row8"	"sd_row8"	"quantile025_row8"	"quantile975_row8"	"CIlength95_row8"
1	0	0	0	0.1	0.197971547425064	0.0696571340590909	0.0641781543256251	0.330500376783386	0.266322222457761	0	0	0	0.2	0.364955061098326	0.127744278930808	0.11765198943002	0.607339765278164	0.489687775848143	0	0	1	0.1	0.133919346924466	0.0471969971431893	0.0437637155567626	0.224581356067121	0.180817640510358	0	0	1	0.2	0.29013651747246	0.102008405590666	0.0934217995296517	0.489543825742754	0.396122026213102	0	0	2	0.1	0.126733357941566	0.0444913873798852	0.0410447675406075	0.213766172144082	0.172721404603474	0	0	2	0.2	0.281507700227523	0.0988751075395556	0.0912450691929075	0.476440999349447	0.385195930156539	0	0	3	0.1	0.128143535318253	0.0449410798878182	0.0416268988498366	0.216804883713843	0.175177984864006	0	0	3	0.2	0.286303057223187	0.10056236297335	0.0938669249891425	0.484076186000748	0.390209261011605
8	0	0	0	0.1	0.255914901603656	0.0645631212649281	0.134323199332437	0.388037516173923	0.253714316841485	0	0	0	0.2	0.464638102910649	0.116484004703725	0.24461829061288	0.700244816179113	0.455626525566233	0	0	1	0.1	0.168713353847863	0.0428191138947839	0.0875113694988705	0.256689545593062	0.169178176094191	0	0	1	0.2	0.362997792444031	0.0918399018056256	0.187578471284862	0.551131437068611	0.363552965783749	0	0	2	0.1	0.157957228622982	0.0399442608964029	0.0816270856239765	0.237646399089435	0.156019313465459	0	0	2	0.2	0.349117651284421	0.0883875413857892	0.180549087929684	0.523360691787376	0.342811603857692	0	0	3	0.1	0.158988871630718	0.0401509707683859	0.0821515430523014	0.236745352429608	0.154593809377307	0	0	3	0.2	0.353640730069202	0.0895844652496477	0.182734003806631	0.5278308774175	0.345096873610869
7	0	0	0	0.1	0.214725256123389	0.070427066878519	0.0794379309922081	0.358203752182351	0.278765821190143	0	0	0	0.2	0.394506427941772	0.128325037613267	0.147355276290646	0.663140691065097	0.515785414774451	0	0	1	0.1	0.145210607429158	0.0476749667935432	0.0546688378320012	0.243821769162837	0.189152931330836	0	0	1	0.2	0.313473421805282	0.102373877857074	0.120025765141258	0.51996660973141	0.399940844590152	0	0	2	0.1	0.136454190033065	0.0443921196450372	0.0525123140722941	0.225624880584232	0.173112566511937	0	0	2	0.2	0.30245934963168	0.0983601520093724	0.119305525683306	0.49890676687165	0.379601241188344	0	0	3	0.1	0.137363819706437	0.0445197151215911	0.0532544929122286	0.226334615834822	0.173080122922593	0	0	3	0.2	0.306499895224722	0.0994162892719652	0.120210718158574	0.507509529994957	0.387298811836383
9	0	0	0	0.1	-0.00405201666617043	0.0654198208252333	-0.131167698017856	0.129275405198864	0.26044310321672	0	0	0	0.2	-0.00743938238508495	0.120301665402909	-0.246734603482729	0.239310275505431	0.48604487898816	0	0	1	0.1	-0.00276923684989284	0.0438856785636253	-0.0911836164262497	0.0868737206211956	0.178057337047445	0	0	1	0.2	-0.00594194368376783	0.0951614492574873	-0.19493295349813	0.18715532583187	0.38208827933	0	0	2	0.1	-0.00255758807798377	0.0416265896878742	-0.0847849134878293	0.0820239935524491	0.166808907040278	0	0	2	0.2	-0.00565215239524945	0.0924758346987398	-0.188416758871633	0.181288142958193	0.369704901829825	0	0	3	0.1	-0.00254872728473509	0.0421694875573734	-0.0851534070977755	0.0826744173281567	0.167827824425932	0	0	3	0.2	-0.00568786361631978	0.0941956673284135	-0.19114838198602	0.184893802827109	0.37604218481313
6	0	0	0	0.1	0.306932347776707	0.0771065998936899	0.160000314853466	0.454089359372588	0.294089044519122	0	0	0	0.2	0.575355588403432	0.143199762229934	0.30160879134221	0.849458864451599	0.54785007310939	0	0	1	0.1	0.214351789015739	0.0540296238510737	0.111734142711247	0.317994570693422	0.206260427982175	0	0	1	0.2	0.467181802820838	0.117091722400071	0.243905968806609	0.696814440220049	0.45290847141344	0	0	2	0.1	0.204425533204306	0.0510838379785307	0.10791125574657	0.306743906254852	0.198832650508282	0	0	2	0.2	0.456257721689007	0.114050998444022	0.240952651476024	0.690857385462101	0.449904733986077	0	0	3	0.1	0.207145982882875	0.0516177287258594	0.108833438906347	0.313976652876089	0.205143213969741	0	0	3	0.2	0.464994513964629	0.116129985404328	0.24406204814256	0.706628115425537	0.462566067282977
18	0	0	0	0.1	0.176633750791907	0.0573615154081651	0.0725872220553643	0.293277920711203	0.220690698655838	0	0	0	0.2	0.33476845722186	0.108395659458665	0.144624791361002	0.559935716451083	0.41531092509008	0	0	1	0.1	0.123505102517469	0.0402223411177613	0.0543184267406845	0.207102036800315	0.15278361005963	0	0	1	0.2	0.272417012391335	0.0887315994052207	0.119353609946924	0.457640851567383	0.338287241620459	0	0	2	0.1	0.120692669874606	0.0392855515142762	0.0519104361370306	0.205178943743239	0.153268507606208	0	0	2	0.2	0.271144417160093	0.0885270651683522	0.116083623681688	0.461388686584665	0.345305062902978	0	0	3	0.1	0.124102235216882	0.0404511949896473	0.0532843401226079	0.211432266491065	0.158147926368457	0	0	3	0.2	0.279777759246938	0.0914827323539458	0.118628721155692	0.478314302207435	0.359685581051742
19	0	0	0	0.1	0.196104934120495	0.0659377531548043	0.0626787763685605	0.327561708252982	0.264882931884422	0	0	0	0.2	0.372698153035355	0.124783397926172	0.121035913200261	0.619050836104223	0.498014922903961	0	0	1	0.1	0.138274298783459	0.046657683613967	0.044169184070086	0.232876832375739	0.188707648305653	0	0	1	0.2	0.304898653271703	0.102687224531783	0.0984062487068943	0.50472174505841	0.406315496351516	0	0	2	0.1	0.134775843906165	0.0452822412771494	0.0439184619039557	0.223567008340669	0.179648546436713	0	0	2	0.2	0.302825025244264	0.101885333788676	0.0994688187429455	0.50764924399976	0.408180425256814	0	0	3	0.1	0.138236339178272	0.0463889547062346	0.04542609533515	0.231553676006017	0.186127580670867	0	0	3	0.2	0.311865639381947	0.104907432045889	0.101805979691745	0.522843329554087	0.421037349862342
25	0	0	0	0.1	0.154302181548368	0.0673095053645934	0.0331509139691291	0.289265146856478	0.256114232887349	0	0	0	0.2	0.280110196566227	0.122423238549935	0.0589672081116707	0.538080966572624	0.479113758460954	0	0	1	0.1	0.102332252219963	0.0450984204301319	0.0220631122734259	0.198370283372221	0.176307171098795	0	0	1	0.2	0.219684899704939	0.0968257227548613	0.0455871105872747	0.42901243427659	0.383425323689315	0	0	2	0.1	0.0952574304022944	0.0420457843432505	0.0196814458703472	0.18488016194573	0.165198716075383	0	0	2	0.2	0.210355000351595	0.0930035291536868	0.0430244356136157	0.406655024048915	0.363630588435299	0	0	3	0.1	0.0955178782597648	0.0421999734494013	0.0193157238288997	0.185405015234953	0.166089291406054	0	0	3	0.2	0.212394548345748	0.0940719561217797	0.0440342687942153	0.411932680880592	0.367898412086377
21	0	0	0	0.1	0.261045930282711	0.0665538771208121	0.13561974229051	0.394238629254387	0.258618886963877	0	0	0	0.2	0.492435845127674	0.125506553017459	0.252810916277036	0.749482782843987	0.49667186656695	0	0	1	0.1	0.182126914494121	0.0470046056857057	0.0933918863245572	0.280638417737131	0.187246531412573	0	0	1	0.2	0.39990568584618	0.103441706674023	0.206211638464845	0.614402746928114	0.408191108463269	0	0	2	0.1	0.176450526658179	0.0456541955951998	0.0917076395201215	0.271281109874136	0.179573470354014	0	0	2	0.2	0.395459822060316	0.102806368264805	0.206509618281369	0.612430630630835	0.405921012349466	0	0	3	0.1	0.180528790229507	0.0468474135549664	0.0947320385177415	0.280320618205422	0.18558857968768	0	0	3	0.2	0.406309053593409	0.105967782174764	0.213614783507071	0.631508801475962	0.417894017968891
24	0	0	0	0.1	0.157565098782693	0.0611582265638089	0.0392568762931379	0.279773423760739	0.240516547467601	0	0	0	0.2	0.291372218818843	0.112827798968523	0.0726673225725228	0.519990865345889	0.447323542773367	0	0	1	0.1	0.106347889139547	0.0414001708588343	0.0267243582686588	0.19414717134402	0.167422813075361	0	0	1	0.2	0.231348676777135	0.0900027627702081	0.0573224607234928	0.416326316539491	0.359003855815998	0	0	2	0.1	0.101529652013822	0.039504563459676	0.0258069753830169	0.181693281539795	0.155886306156779	0	0	2	0.2	0.225978647199132	0.0880281767100914	0.0563646978595841	0.403097442815748	0.346732744956164	0	0	3	0.1	0.103201184676883	0.0401642585055475	0.025779582171851	0.184170108106062	0.158390525934211	0	0	3	0.2	0.23088232160771	0.0900205116888377	0.0583748972005489	0.412961876474127	0.354586979273578
17	0	0	0	0.1	0.0580707456936764	0.0626352705753499	-0.0708923749866688	0.179039345741666	0.249931720728335	0	0	0	0.2	0.107379831642853	0.115997707029578	-0.132683626852633	0.331309100637321	0.463992727489955	0	0	1	0.1	0.0391562691881154	0.0424510205391488	-0.0486834187325425	0.120161046848511	0.168844465581054	0	0	1	0.2	0.0852409938256577	0.0924035970873077	-0.107424234681933	0.260009155982293	0.367433390664226	0	0	2	0.1	0.037418616441612	0.0405552891778896	-0.0473886905953826	0.113348940836682	0.160737631432065	0	0	2	0.2	0.0832819872646455	0.0903385991532701	-0.106342213366085	0.25173562378056	0.358077837146645	0	0	3	0.1	0.0380260054129366	0.0412480782552687	-0.0487328863706487	0.114956598703503	0.163689485074152	0	0	3	0.2	0.0850978694909442	0.0923936202811908	-0.108738826767028	0.257933651826494	0.366672478593522
20	0	0	0	0.1	0.19714104951231	0.0620959964219587	0.0810058921269794	0.314606330955301	0.233600438828321	0	0	0	0.2	0.367321019320232	0.114792852324535	0.150379150203703	0.579924823345232	0.429545673141529	0	0	1	0.1	0.134276864799974	0.0421173225127693	0.0540712298079215	0.213872255140559	0.159801025332637	0	0	1	0.2	0.293606744411347	0.0919040208508235	0.118181241552337	0.469460113446674	0.351278871894338	0	0	2	0.1	0.129415396731833	0.0404548605789877	0.0521158641493125	0.209027917990477	0.156912053841164	0	0	2	0.2	0.289002305190725	0.0903977818927773	0.116515597038587	0.467932618734284	0.351417021695698	0	0	3	0.1	0.132169881908353	0.0413006256245391	0.0532793911286261	0.213825377672155	0.160545986543529	0	0	3	0.2	0.296548678054777	0.0928106377181886	0.120049787888965	0.483958234872565	0.3639084469836
26	0	0	0	0.1	0.19836429043861	0.0670312311046515	0.0627717694523812	0.33439382982538	0.271622060372998	0	0	0	0.2	0.364797023196041	0.12246531731235	0.115127225818626	0.620611601820101	0.505484376001475	0	0	1	0.1	0.133788157516746	0.0451752630123327	0.0424501239171215	0.230027512458688	0.187577388541566	0	0	1	0.2	0.289466375588376	0.097460438193304	0.0950637002088978	0.493278630468621	0.398214930259723	0	0	2	0.1	0.126265801972716	0.0424775308161699	0.0425282026179602	0.213393776850637	0.170865574232677	0	0	2	0.2	0.280267826235381	0.0943350534604207	0.0953723888810114	0.473555740767704	0.378183351886693	0	0	3	0.1	0.127500081423894	0.0428655712336421	0.0429136019696693	0.216276626184224	0.173363024214555	0	0	3	0.2	0.284783268167691	0.0958745786002416	0.0957559622501217	0.483150315104521	0.3873943528544
23	0	0	0	0.1	0.1358141982547	0.0636514196673508	0.00862678446295619	0.261708497351253	0.253081712888296	0	0	0	0.2	0.248731207059828	0.116332681842785	0.0165216682747528	0.479092314254074	0.462570645979321	0	0	1	0.1	0.0903953159455617	0.0424296308908518	0.0062894287507443	0.174256374024678	0.167966945273934	0	0	1	0.2	0.195602949781831	0.0917587672382483	0.013774922216196	0.378734917996943	0.364959995780747	0	0	2	0.1	0.0854744659290961	0.0400933793994331	0.0061807632004467	0.165154625800066	0.158973862599619	0	0	2	0.2	0.189545826917744	0.0890232862042351	0.0130682225410985	0.36717223939731	0.354104016856212	0	0	3	0.1	0.0864378074887446	0.0405649795709806	0.00597728278810195	0.167769590291259	0.161792307503157	0	0	3	0.2	0.192840731526909	0.0906192223029565	0.0143015996926472	0.374206690383898	0.359905090691251
22	0	0	0	0.1	0.194155355677179	0.0605899208951393	0.0783080857226102	0.315843477141544	0.237535391418934	0	0	0	0.2	0.366431507245157	0.113792060642172	0.147385903240152	0.59730511635429	0.449919213114138	0	0	1	0.1	0.134195380708344	0.0420070698710161	0.0542548615570755	0.219231800027309	0.164976938470233	0	0	1	0.2	0.296027494381145	0.0924727738518897	0.120791871428641	0.483742556401987	0.362950684973345	0	0	2	0.1	0.131609670547383	0.0409672417602713	0.0542100056957292	0.21468228852424	0.160472282828511	0	0	2	0.2	0.295440824635966	0.0920314455595314	0.122341005370879	0.483450953427404	0.361109948056525	0	0	3	0.1	0.135688578727478	0.0421469968689319	0.05652388106269	0.221956960080268	0.165433079017578	0	0	3	0.2	0.305592146180756	0.0950653366837663	0.126206709312858	0.499352883332228	0.37314617401937
28	0	0	0	0.1	0.207096977271195	0.0625101537245104	0.0861376602124504	0.335906637368936	0.249768977156486	0	0	0	0.2	0.376659495992212	0.11303534936083	0.157056877802721	0.605342778723224	0.448285900920502	0	0	1	0.1	0.136412827043541	0.0412798767091655	0.0566623304732365	0.221674547363103	0.165012216889866	0	0	1	0.2	0.294160297563785	0.0887537870749313	0.124367186239634	0.47150765974409	0.347140473504457	0	0	2	0.1	0.128263326195288	0.0386840529796738	0.0543630289553695	0.203398126557551	0.149035097602182	0	0	2	0.2	0.283823200761866	0.0856665227801295	0.122585109306208	0.449124288813841	0.326539179507633	0	0	3	0.1	0.129406614874755	0.0389930775847833	0.055129754071937	0.204792185723348	0.149662431651411	0	0	3	0.2	0.288135216674893	0.087010771357809	0.124019052461748	0.461745601052646	0.337726548590899
