"nu"	"rho"	"True_Res_Y0"	"True_Res_Y1"	"True_Diff"
0	0.25	0.213110454787786	0.187427534628491	-0.0256829201592958
0	0.5	1.11542873753863	1.91827948816848	0.802850750629849
1	0.25	1.27806243767294	2.31991459458546	1.04185215691253
1	0.5	4.21424434764147	9.50685119048733	5.29260684284588
2	0.25	1.83058652156501	3.51952148822736	1.68893496666234
2	0.5	5.52585871378529	12.3268939470825	6.80103523329717
3	0.25	2.22434684345391	4.41136703880651	2.18702019535261
3	0.5	6.45526416218265	14.1941896282555	7.73892546607281
