"nu"	"rho"	"True_Res_Y0"	"True_Res_Y1"	"True_Diff"
0	0.25	0.213413769275074	0.186495408627846	-0.0269183606472281
0	0.5	1.10884421759945	1.89662292021891	0.787778702619455
1	0.25	1.15322588338797	2.37245873801102	1.21923285462305
1	0.5	4.07228508466939	9.62147409727143	5.54918901260204
2	0.25	1.87674940218608	3.56465980754728	1.68791040536119
2	0.5	5.61987107391573	12.3967576868921	6.77688661297633
3	0.25	2.25362738986306	4.42898776092073	2.17536037105764
3	0.5	6.51790190044991	14.220708430292	7.70280652984206
